13330 13841
0 1 -1
0 2 -1
1 3 -1
1 4 -1
2 5 -1
2 6 -1
3 7 -1
3 8 -1
4 9 -1
4 10 -1
5 11 -1
5 12 -1
6 13 -1
6 14 -1
7 15 -1
7 16 -1
8 17 -1
8 18 -1
9 19 -1
9 20 -1
10 21 -1
10 22 -1
11 23 -1
11 24 -1
12 25 -1
12 26 -1
13 27 -1
13 28 -1
14 29 -1
14 30 -1
15 31 -1
15 32 -1
16 33 -1
16 34 -1
17 35 -1
17 36 -1
18 37 -1
18 38 -1
19 39 -1
19 40 -1
20 41 -1
20 42 -1
21 43 -1
21 44 -1
22 45 -1
22 46 -1
23 47 -1
23 48 -1
24 49 -1
24 50 -1
25 51 -1
25 52 -1
26 53 -1
26 54 -1
27 55 -1
27 56 -1
28 57 -1
28 58 -1
29 59 -1
29 60 -1
30 61 -1
30 62 -1
31 63 -1
31 64 -1
32 65 -1
32 66 -1
33 67 -1
33 68 -1
34 69 -1
34 70 -1
35 71 -1
35 72 -1
36 73 -1
36 74 -1
37 75 -1
37 76 -1
38 77 -1
38 78 -1
39 79 -1
39 80 -1
40 81 -1
40 82 -1
41 83 -1
41 84 -1
42 85 -1
42 86 -1
43 87 -1
43 88 -1
44 89 -1
44 90 -1
45 91 -1
45 92 -1
46 93 -1
46 94 -1
47 95 -1
47 96 -1
48 97 -1
48 98 -1
49 99 -1
49 100 -1
50 101 -1
50 102 -1
51 103 -1
51 104 -1
52 105 -1
52 106 -1
53 107 -1
53 108 -1
54 109 -1
54 110 -1
55 111 -1
55 112 -1
56 113 -1
56 114 -1
57 115 -1
57 116 -1
58 117 -1
58 118 -1
59 119 -1
59 120 -1
60 121 -1
60 122 -1
61 123 -1
61 124 -1
62 125 -1
62 126 -1
63 127 -1
63 128 -1
64 129 -1
64 130 -1
65 131 -1
65 132 -1
66 133 -1
66 134 -1
67 135 -1
67 136 -1
68 137 -1
68 138 -1
69 139 -1
69 140 -1
70 141 -1
70 142 -1
71 143 -1
71 144 -1
72 145 -1
72 146 -1
73 147 -1
73 148 -1
74 149 -1
74 150 -1
75 151 -1
75 152 -1
76 153 -1
76 154 -1
77 155 -1
77 156 -1
78 157 -1
78 158 -1
79 159 -1
79 160 -1
80 161 -1
80 162 -1
81 163 -1
81 164 -1
82 165 -1
82 166 -1
83 167 -1
83 168 -1
84 169 -1
84 170 -1
85 171 -1
85 172 -1
86 173 -1
86 174 -1
87 175 -1
87 176 -1
88 177 -1
88 178 -1
89 179 -1
89 180 -1
90 181 -1
90 182 -1
91 183 -1
91 184 -1
92 185 -1
92 186 -1
93 187 -1
93 188 -1
94 189 -1
94 190 -1
95 191 -1
95 192 -1
96 193 -1
96 194 -1
97 195 -1
97 196 -1
98 197 -1
98 198 -1
99 199 -1
99 200 -1
100 201 -1
100 202 -1
101 203 -1
101 204 -1
102 205 -1
102 206 -1
103 207 -1
103 208 -1
104 209 -1
104 210 -1
105 211 -1
105 212 -1
106 213 -1
106 214 -1
107 215 -1
107 216 -1
108 217 -1
108 218 -1
109 219 -1
109 220 -1
110 221 -1
110 222 -1
111 223 -1
111 224 -1
112 225 -1
112 226 -1
113 227 -1
113 228 -1
114 229 -1
114 230 -1
115 231 -1
115 232 -1
116 233 -1
116 234 -1
117 235 -1
117 236 -1
118 237 -1
118 238 -1
119 239 -1
119 240 -1
120 241 -1
120 242 -1
121 243 -1
121 244 -1
122 245 -1
122 246 -1
123 247 -1
123 248 -1
124 249 -1
124 250 -1
125 251 -1
125 252 -1
126 253 -1
126 254 -1
127 255 -1
127 256 -1
128 257 -1
128 258 -1
129 259 -1
129 260 -1
130 261 -1
130 262 -1
131 263 -1
131 264 -1
132 265 -1
132 266 -1
133 267 -1
133 268 -1
134 269 -1
134 270 -1
135 271 -1
135 272 -1
136 273 -1
136 274 -1
137 275 -1
137 276 -1
138 277 -1
138 278 -1
139 279 -1
139 280 -1
140 281 -1
140 282 -1
141 283 -1
141 284 -1
142 285 -1
142 286 -1
143 287 -1
143 288 -1
144 289 -1
144 290 -1
145 291 -1
145 292 -1
146 293 -1
146 294 -1
147 295 -1
147 296 -1
148 297 -1
148 298 -1
149 299 -1
149 300 -1
150 301 -1
150 302 -1
151 303 -1
151 304 -1
152 305 -1
152 306 -1
153 307 -1
153 308 -1
154 309 -1
154 310 -1
155 311 -1
155 312 -1
156 313 -1
156 314 -1
157 315 -1
157 316 -1
158 317 -1
158 318 -1
159 319 -1
159 320 -1
160 321 -1
160 322 -1
161 323 -1
161 324 -1
162 325 -1
162 326 -1
163 327 -1
163 328 -1
164 329 -1
164 330 -1
165 331 -1
165 332 -1
166 333 -1
166 334 -1
167 335 -1
167 336 -1
168 337 -1
168 338 -1
169 339 -1
169 340 -1
170 341 -1
170 342 -1
171 343 -1
171 344 -1
172 345 -1
172 346 -1
173 347 -1
173 348 -1
174 349 -1
174 350 -1
175 351 -1
175 352 -1
176 353 -1
176 354 -1
177 355 -1
177 356 -1
178 357 -1
178 358 -1
179 359 -1
179 360 -1
180 361 -1
180 362 -1
181 363 -1
181 364 -1
182 365 -1
182 366 -1
183 367 -1
183 368 -1
184 369 -1
184 370 -1
185 371 -1
185 372 -1
186 373 -1
186 374 -1
187 375 -1
187 376 -1
188 377 -1
188 378 -1
189 379 -1
189 380 -1
190 381 -1
190 382 -1
191 383 -1
191 384 -1
192 385 -1
192 386 -1
193 387 -1
193 388 -1
194 389 -1
194 390 -1
195 391 -1
195 392 -1
196 393 -1
196 394 -1
197 395 -1
197 396 -1
198 397 -1
198 398 -1
199 399 -1
199 400 -1
200 401 -1
200 402 -1
201 403 -1
201 404 -1
202 405 -1
202 406 -1
203 407 -1
203 408 -1
204 409 -1
204 410 -1
205 411 -1
205 412 -1
206 413 -1
206 414 -1
207 415 -1
207 416 -1
208 417 -1
208 418 -1
209 419 -1
209 420 -1
210 421 -1
210 422 -1
211 423 -1
211 424 -1
212 425 -1
212 426 -1
213 427 -1
213 428 -1
214 429 -1
214 430 -1
215 431 -1
215 432 -1
216 433 -1
216 434 -1
217 435 -1
217 436 -1
218 437 -1
218 438 -1
219 439 -1
219 440 -1
220 441 -1
220 442 -1
221 443 -1
221 444 -1
222 445 -1
222 446 -1
223 447 -1
223 448 -1
224 449 -1
224 450 -1
225 451 -1
225 452 -1
226 453 -1
226 454 -1
227 455 -1
227 456 -1
228 457 -1
228 458 -1
229 459 -1
229 460 -1
230 461 -1
230 462 -1
231 463 -1
231 464 -1
232 465 -1
232 466 -1
233 467 -1
233 468 -1
234 469 -1
234 470 -1
235 471 -1
235 472 -1
236 473 -1
236 474 -1
237 475 -1
237 476 -1
238 477 -1
238 478 -1
239 479 -1
239 480 -1
240 481 -1
240 482 -1
241 483 -1
241 484 -1
242 485 -1
242 486 -1
243 487 -1
243 488 -1
244 489 -1
244 490 -1
245 491 -1
245 492 -1
246 493 -1
246 494 -1
247 495 -1
247 496 -1
248 497 -1
248 498 -1
249 499 -1
249 500 -1
250 501 -1
250 502 -1
251 503 -1
251 504 -1
252 505 -1
252 506 -1
253 507 -1
253 508 -1
254 509 -1
254 510 -1
255 793 282
255 1278 767
255 1280 769
255 1357 846
255 1360 849
255 1368 857
255 1372 861
255 1386 875
255 1841 1330
255 1906 1395
255 2037 1526
255 2039 1528
255 2412 1901
255 2420 1909
255 4052 3541
255 4162 3651
255 4609 4098
255 4866 4355
255 5211 4700
255 5219 4708
255 5830 5319
255 6303 5792
255 6808 6297
255 6809 6298
255 7152 6641
255 7153 6642
255 7941 7430
255 8046 7535
255 8305 7794
255 8723 8212
255 8868 8357
255 9003 8492
255 9512 9001
255 9622 9111
255 9666 9155
255 10126 9615
255 10722 10211
255 10801 10290
255 11324 10813
255 11381 10870
255 11496 10985
255 11535 11024
255 11682 11171
255 12046 11535
255 12248 11737
255 12287 11776
255 12422 11911
255 12734 12223
255 12746 12235
255 12803 12292
255 12863 12352
255 12878 12367
255 13353 12842
256 720 209
256 921 410
256 1221 710
256 1455 944
256 1474 963
256 1475 964
256 1632 1121
256 1995 1484
256 2517 2006
256 2591 2080
256 2592 2081
256 2593 2082
256 2838 2327
256 5341 4830
256 6040 5529
256 6198 5687
256 6623 6112
256 6693 6182
256 7405 6894
256 7487 6976
256 8040 7529
256 8064 7553
256 8591 8080
256 9334 8823
256 9379 8868
256 9380 8869
256 9382 8871
256 9388 8877
256 9396 8885
256 9499 8988
256 9500 8989
256 9747 9236
256 10270 9759
256 10494 9983
256 10638 10127
256 10913 10402
256 11002 10491
256 11091 10580
256 11227 10716
256 11536 11025
256 11798 11287
256 11828 11317
256 12572 12061
256 12754 12243
256 12799 12288
256 12802 12291
256 12806 12295
256 12807 12296
256 12858 12347
256 12979 12468
256 13236 12725
256 13632 13121
257 663 152
257 1096 585
257 1631 1120
257 1685 1174
257 1773 1262
257 1774 1263
257 1903 1392
257 2397 1886
257 2400 1889
257 2401 1890
257 2404 1893
257 2598 2087
257 2613 2102
257 2616 2105
257 2621 2110
257 2706 2195
257 3015 2504
257 3512 3001
257 3875 3364
257 4084 3573
257 4192 3681
257 4223 3712
257 4451 3940
257 4913 4402
257 5329 4818
257 5619 5108
257 6100 5589
257 6271 5760
257 6300 5789
257 6621 6110
257 6681 6170
257 7316 6805
257 7486 6975
257 8325 7814
257 8928 8417
257 9084 8573
257 10025 9514
257 10264 9753
257 10734 10223
257 10741 10230
257 11466 10955
257 11467 10956
257 12103 11592
257 12212 11701
257 12252 11741
257 12260 11749
257 12324 11813
257 12426 11915
257 12923 12412
257 13233 12722
257 13490 12979
257 13535 13024
258 556 45
258 557 46
258 561 50
258 562 51
258 563 52
258 592 81
258 661 150
258 814 303
258 1488 977
258 1560 1049
258 1561 1050
258 1563 1052
258 1565 1054
258 1566 1055
258 1568 1057
258 1569 1058
258 2395 1884
258 2396 1885
258 2402 1891
258 2703 2192
258 2778 2267
258 2779 2268
258 2781 2270
258 3165 2654
258 3323 2812
258 3349 2838
258 3514 3003
258 3519 3008
258 3541 3030
258 3820 3309
258 3954 3443
258 4092 3581
258 4628 4117
258 5232 4721
258 6278 5767
258 6565 6054
258 7092 6581
258 7252 6741
258 7326 6815
258 7688 7177
258 8365 7854
258 9800 9289
258 9856 9345
258 9863 9352
258 10234 9723
258 10239 9728
258 10337 9826
258 11554 11043
258 11555 11044
258 11556 11045
258 13089 12578
258 13242 12731
259 613 102
259 787 276
259 788 277
259 805 294
259 816 305
259 914 403
259 1687 1176
259 2152 1641
259 2186 1675
259 2461 1950
259 2464 1953
259 2545 2034
259 2597 2086
259 2617 2106
259 2618 2107
259 2664 2153
259 2678 2167
259 2832 2321
259 2834 2323
259 3727 3216
259 4214 3703
259 4410 3899
259 4484 3973
259 4491 3980
259 4689 4178
259 4931 4420
259 4937 4426
259 4949 4438
259 4950 4439
259 5823 5312
259 5824 5313
259 5833 5322
259 6018 5507
259 6030 5519
259 6500 5989
259 7102 6591
259 7447 6936
259 7617 7106
259 7896 7385
259 8421 7910
259 9096 8585
259 9097 8586
259 9543 9032
259 10736 10225
259 10742 10231
259 11350 10839
259 11696 11185
259 11869 11358
259 12289 11778
259 12978 12467
259 13427 12916
259 13755 13244
260 1282 771
260 1288 777
260 1660 1149
260 1844 1333
260 2042 1531
260 2119 1608
260 2236 1725
260 2605 2094
260 2615 2104
260 2619 2108
260 2636 2125
260 2689 2178
260 2690 2179
260 2964 2453
260 3222 2711
260 3855 3344
260 3867 3356
260 4015 3504
260 4220 3709
260 4460 3949
260 4461 3950
260 4462 3951
260 4463 3952
260 4464 3953
260 4493 3982
260 4960 4449
260 5121 4610
260 5808 5297
260 6179 5668
260 6346 5835
260 6587 6076
260 6724 6213
260 7133 6622
260 7142 6631
260 7254 6743
260 7445 6934
260 7446 6935
260 7614 7103
260 8018 7507
260 8216 7705
260 9270 8759
260 9305 8794
260 9640 9129
260 9799 9288
260 10373 9862
260 10919 10408
260 11351 10840
260 12266 11755
260 12725 12214
260 13265 12754
260 13656 13145
260 13685 13174
261 1093 582
261 1384 873
261 1766 1255
261 2387 1876
261 2751 2240
261 2753 2242
261 2763 2252
261 3231 2720
261 3566 3055
261 3567 3056
261 3657 3146
261 3739 3228
261 4331 3820
261 4334 3823
261 4802 4291
261 4804 4293
261 5120 4609
261 5459 4948
261 5807 5296
261 6599 6088
261 6819 6308
261 6823 6312
261 7460 6949
261 7897 7386
261 7901 7390
261 8008 7497
261 8009 7498
261 8448 7937
261 9229 8718
261 9307 8796
261 9310 8799
261 9313 8802
261 9321 8810
261 9322 8811
261 9352 8841
261 9371 8860
261 9768 9257
261 9775 9264
261 9959 9448
261 9978 9467
261 10612 10101
261 10975 10464
261 11025 10514
261 11831 11320
261 11838 11327
261 11846 11335
261 11938 11427
261 12338 11827
261 12594 12083
261 12760 12249
261 13466 12955
261 13794 13283
262 1383 872
262 1451 940
262 1452 941
262 1614 1103
262 1737 1226
262 1747 1236
262 1848 1337
262 1900 1389
262 2128 1617
262 2130 1619
262 2520 2009
262 3032 2521
262 3050 2539
262 3725 3214
262 4295 3784
262 4769 4258
262 5296 4785
262 5458 4947
262 5470 4959
262 5554 5043
262 6110 5599
262 6126 5615
262 6188 5677
262 6240 5729
262 6316 5805
262 6320 5809
262 6768 6257
262 6770 6259
262 6812 6301
262 7027 6516
262 7169 6658
262 7790 7279
262 7836 7325
262 8006 7495
262 8015 7504
262 8394 7883
262 8778 8267
262 9872 9361
262 10046 9535
262 10113 9602
262 10116 9605
262 10723 10212
262 10724 10213
262 11305 10794
262 11961 11450
262 12090 11579
262 12822 12311
262 13447 12936
262 13449 12938
262 13453 12942
262 13454 12943
262 13652 13141
263 959 448
263 961 450
263 1036 525
263 1037 526
263 1277 766
263 1298 787
263 1375 864
263 1534 1023
263 1624 1113
263 1628 1117
263 2058 1547
263 2250 1739
263 2666 2155
263 3713 3202
263 4216 3705
263 4580 4069
263 4581 4070
263 5351 4840
263 5403 4892
263 5818 5307
263 6097 5586
263 6108 5597
263 6312 5801
263 7095 6584
263 7207 6696
263 7208 6697
263 7209 6698
263 7211 6700
263 7423 6912
263 7425 6914
263 7708 7197
263 7965 7454
263 7970 7459
263 8391 7880
263 8392 7881
263 8562 8051
263 8688 8177
263 8712 8201
263 8795 8284
263 9507 8996
263 10682 10171
263 11175 10664
263 11722 11211
263 12166 11655
263 12167 11656
263 12174 11663
263 13458 12947
263 13578 13067
263 13579 13068
263 13777 13266
263 13785 13274
263 13787 13276
263 13789 13278
264 682 171
264 783 272
264 784 273
264 1024 513
264 1027 516
264 1034 523
264 1035 524
264 1067 556
264 1290 779
264 2197 1686
264 3048 2537
264 3134 2623
264 3139 2628
264 3142 2631
264 3143 2632
264 3726 3215
264 4082 3571
264 4194 3683
264 4492 3981
264 5127 4616
264 5131 4620
264 5133 4622
264 5191 4680
264 5577 5066
264 5695 5184
264 5725 5214
264 6225 5714
264 6606 6095
264 6607 6096
